date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:04	91352/91352	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:40%20GMT	https://www.sat.gob.mx/personas/otros-ingresos	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/otros-ingresos.html	(from https://www.sat.gob.mx/home)
23:28:04	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Aug%202024%2005:27:43%20GMT	https://www.sat.gob.mx/cs/Satellite?c=Page&childpagename=SatTyR%2FPage%2FSAT_LandingHomeLayout&cid=1462228445258&pagename=TySWrapper_Empresas_Simplificado-de-confianza-PM	C:/My%20Web%20Sites/phis/www.sat.gob.mx/cs/Satellite3d7e	(from https://www.sat.gob.mx/home)
23:28:05	94018/94018	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:42%20GMT	https://www.sat.gob.mx/empresas/cooperativas	C:/My%20Web%20Sites/phis/www.sat.gob.mx/empresas/cooperativas.html	(from https://www.sat.gob.mx/home)
23:28:08	89635/89635	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:42%20GMT	https://www.sat.gob.mx/empresas/sector-primario-pm	C:/My%20Web%20Sites/phis/www.sat.gob.mx/empresas/sector-primario-pm.html	(from https://www.sat.gob.mx/home)
23:28:09	92051/92051	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:43%20GMT	https://www.sat.gob.mx/empresas/grupos	C:/My%20Web%20Sites/phis/www.sat.gob.mx/empresas/grupos.html	(from https://www.sat.gob.mx/home)
23:28:09	89140/89140	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:43%20GMT	https://www.sat.gob.mx/empresas/sin-fines-de-lucro	C:/My%20Web%20Sites/phis/www.sat.gob.mx/empresas/sin-fines-de-lucro.html	(from https://www.sat.gob.mx/home)
23:28:09	18343/18343	---M--	200	added ('OK')	image/png	etag:%2247a7-5a8e0fcdc7400%22	https://www.sat.gob.mx/satys/img/logo3.png	C:/My%20Web%20Sites/phis/www.sat.gob.mx/satys/img/logo3.png	(from https://www.sat.gob.mx/home)
23:28:09	96128/96128	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:44%20GMT	https://www.sat.gob.mx/empresas/coordinados	C:/My%20Web%20Sites/phis/www.sat.gob.mx/empresas/coordinados.html	(from https://www.sat.gob.mx/home)
23:28:09	103166/103166	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2014:07:20%20GMT	https://www.sat.gob.mx/personas/ultimas-noticias	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/ultimas-noticias.html	(from https://www.sat.gob.mx/home)
23:28:09	119445/119445	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2009:05:23%20GMT	https://www.sat.gob.mx/personas/calendario	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/calendario.html	(from https://www.sat.gob.mx/home)
